,Internally Developed Accounting Software,,"If Company uses any internally developed accounting software, provide system documentation."
,Contracts with Outside Resources for Services or Software,,Any contracts with outside resources for services or software
,License Terms for Major Software,,License terms for major software.
,All Other Software,,Detail listing of all other software.
,Significant Accounting & Operational Functions Supported by Computer,,List all significant accounting and operational functions currently supported by computer.
,Source Code for Software,,Does Company own or have access to the source code for its software?
,Internet Addresses & Websites of the Company,,List any Internet addresses or web sites of the Company.
Intellectual Property,,,
,"United States & International Patents, Patents Applications & Inventions",,"List of all United States and international patents, patent applications and inventions (patents not yet applied for) owned or used by the Company."
,"United States & International Registered Copyrights, Trademarks, Service Marks, Trade Dress or Trade Names",,"List of all United States and international registered copyrights, trademarks, service marks, trade dress or trade names held or used (presently or within the last five years) by the Company."
,All Other Intellectual Property Interests of the Company,,"Identify all other intellectual property interests of the Company, including any information the Company classifies as a trade secret."
,Persons or Entities with Interest in any of the Intellectual Property Listed,,List of any other persons or entities with interest in any of the intellectual property listed in response to this request.
,Correspondence of Allegations,,Copies of any correspondence alleging that the Company infringed or misappropriated another's intellectual property rights.
,Pleadings Relating to any Litigation Regarding Intellectual Property Rights,,"Copies of the pleadings relating to any litigation regarding intellectual property rights in which the Company has been involved, including the complaint, answer, any dispositive motions, consent decrees and other judgments, settlement agreements and material settlement correspondence."
Insurance,,,
,Insurance Policies Held by or Applicable to the Company,,"Copies of all insurance policies held by or applicable to the Company to the extent not otherwise provided herein (including property and casualty insurance, general liability insurance and product liability insurance)."
,Significant Insurance Claims and Losses,,List of significant insurance claims and losses during the last three years.
,Schedule of Insured Vehicles,,Schedule of insured vehicles.
,Employees Furnished with Vehicles,,List of employees furnished with vehicles with model/year of vehicle.
,Risks Not Covered or Where Coverage Was Denied,,Description of any risks not covered or where coverage has been denied.
,"Significant Changes in Coverage, Premiums or Other Terms for Insurance Policies",,"Description of any significant changes in coverage, premiums or other terms of any of the insurance policies in the past three years or expected within the next year."
Federal & State Securities Law Compliance,,,
,Documents Filed and Correspondence with any State or Foreign Securities Regulator,,"Documents filed and correspondence with any state or foreign securities regulator, including: notices of intent to rely on exemptions from registration, registration statements, rescission offers, requests for interpretative rulings, and cease-and-desist orders."
